current_run,Pedido,ordinal_entered,Cantidad Pedida,Distancia,Vehiculo Asignado,Usa Bomba,Inicio Carga,Inicio Viaje,Inicio Descarga,Inicio Vuelta,Llegada a Planta,Inicio Limpieza,Fin Limpieza,
935,7,7,9.45458,13.6596,Camion 11_2,1,0.532325,2.63557,3.18195,3.4971,4.04348,4.04348,4.29348,
935,18,13,12.8307,3.37169,Camion 15_2,0,3.09748,3.60111,3.73597,4.16366,4.29853,4.29853,4.54853,
935,5.1,11,6.68062,11.4074,Camion 8_1,0,2.95073,3.34748,3.80378,4.02646,4.48276,4.48276,4.79853,
935,5.2,11,6.68062,11.4074,Camion 8_2,0,3.34748,3.57017,4.02646,4.24915,4.70545,4.70545,5.04853,
935,14,12,11.4908,13.9269,Camion 15_1,0,2.84748,3.23051,3.78758,4.17061,4.72768,4.72768,5.29853,
935,10,10,9.53528,6.48096,Camion 11_1,0,3.84748,4.16532,4.42456,4.7424,5.00164,5.00164,5.54853,
935,17,14,10.9767,9.99949,Camion 11_2,0,4.29348,4.65937,5.05935,5.42524,5.82522,5.82522,6.07522,
935,8.1,18,4.08295,2.4881,Camion 8_2,0,5.04853,5.54853,5.64805,5.83645,5.93597,5.93597,6.32522,
935,11,17,14.384,4.45836,Camion 15_2,0,4.54853,5.13884,5.31717,5.79664,5.97497,5.97497,6.57522,
935,1.1,15,6.10487,12.3707,Camion 8_3,0,4.48276,4.79853,5.29336,5.49685,5.99168,5.99168,6.82522,
935,8.2,18,4.08295,2.4881,Camion 11_1,0,5.54853,5.68463,5.78415,5.97254,6.07207,6.07207,7.07522,
935,1.2,15,6.10487,12.3707,Camion 8_1,0,4.79853,5.00202,5.49685,5.70035,6.19517,6.19517,7.32522,
936,8,8,8.16591,2.4881,Camion 11_1,0,0.000555556,0.474173,0.573697,0.845894,0.945418,0.945418,1.19542,
936,16,2,6.0426,7.12715,Camion 8_1,0,0.000555556,0.201976,0.487062,0.688482,0.973567,0.973567,1.44542,
936,4,7,7.00448,5.3397,Camion 8_2,1,0.44593,0.707655,0.921244,1.15473,1.36831,1.36831,1.69542,
936,9,3,12.4475,2.55486,Camion 15_2,0,0.201976,0.860848,0.963042,1.37796,1.48015,1.48015,1.94542,
936,5,1,13.3612,11.4074,Camion 15_1,0,0.000555556,0.44593,0.902226,1.3476,1.8039,1.8039,2.19542,
936,18.1,4,6.41533,3.37169,Camion 8_3,0,0.973567,1.44542,1.58029,1.79413,1.929,1.929,2.44542,
936,18.2,4,6.41533,3.37169,Camion 8_1,0,1.44542,1.65926,1.79413,2.00797,2.14284,2.14284,2.69542,
936,2,14,9.00354,11.0529,Camion 11_1,0,1.19542,1.49554,1.93765,2.23777,2.67989,2.67989,2.94542,
936,7,11,9.45458,13.6596,Camion 11_2,1,0.474173,1.36831,1.9147,2.22985,2.77623,2.77623,3.19542,
936,11.1,5,7.19198,4.45836,Camion 8_2,0,1.929,2.44542,2.62375,2.86348,3.04182,3.04182,3.44542,
